广告投放报表(2018-06-01至2018-06-13),,,,,,,,,
日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-04,pc-hp-mpu2,606689,,BJ-18-002,46225,120,0.26,36680,16
2018-06-04,pc-ros-底通,606690,,BJ-18-002,135158,143,0.11,66174,38
2018-06-04,ros-banner,606536,,上海测试_1121,5,0,0,1,0
2018-06-04,ros-mpu2,606535,,上海测试_1121,2,0,0,1,0
2018-06-04,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,60401,27,0.04,46482,27
2018-06-03,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2493,0,0,2038,0
2018-06-03,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,1999,0
2018-06-03,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,1767,0
2018-06-03,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1385,0
2018-06-03,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,2948,0
2018-06-03,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,2938,0
2018-06-03,mobile-顶通-补投,606677,,BJ-18-030,671860,543,0.08,485458,495
2018-06-03,mobile-全屏-3,606613,,BJ-18-026,0,12,0,0,8
2018-06-03,mobile-信息流,606673,,BJ-18-030,29992,380,1.27,26080,331
2018-06-03,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,69172,25,0.04,52506,25
2018-06-02,BD - 埃森哲论坛 会员中心_FT中文网-市场_next_event_1,606679,,BD - 埃森哲论坛 会员中心,0,1,0,0,1
2018-06-02,BD - 埃森哲论坛_FT中文网-市场_Text_Link_3,606660,,BD - 埃森哲论坛,0,1,0,0,1
2018-06-02,BD - 葡萄酒大师班_FT中文网-市场_Text_Link_2,606649,,BD - 葡萄酒大师班,0,1,0,0,1
2018-06-02,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2498,0,0,2011,0
2018-06-02,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,1967,0
2018-06-02,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,1817,0
2018-06-02,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1412,0
2018-06-02,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3720,0,0,2932,0
2018-06-02,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,2951,0
2018-06-02,mobile-顶通-补投,606677,,BJ-18-030,697795,676,0.1,481504,607
2018-06-02,mobile-全屏-3,606613,,BJ-18-026,0,17,0,0,15
2018-06-02,mobile-信息流,606673,,BJ-18-030,29990,358,1.19,25748,342
2018-06-02,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,73964,38,0.05,55263,37
2018-06-02,清华五道口金融论坛_FT中文网-市场_Text_Link_1,606626,,清华五道口金融论坛,0,1,0,0,1
2018-06-01,BD - 埃森哲论坛_FT中文网-市场_Text_Link_3,606660,,BD - 埃森哲论坛,0,1,0,0,1
2018-06-01,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2494,0,0,2124,0
2018-06-01,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,2061,0
2018-06-01,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2703,0,0,1917,0
2018-06-01,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1473,0
2018-06-01,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3720,0,0,3126,0
2018-06-01,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3103,0
2018-06-01,hp-leaderboard-offshore,605985,,offshore-test,1,0,0,1,0
